Posts,Emotion
dume vỉa_hè rộng đi oto,0
cung uoc duoc nhu vay,1
g hồi trở_lại có_lẽ uống trung_nguyên,1
yêu nghiệt tỏ vẻ thương ăn_vạ,0
dậy,4
ma tiếc hạt trân_châu,2
nỗi buồn tự_nhiên quá_đỗi nằm lười giường hồi tỉnh dậy bao quanh đám mây xám nặng_nề cẩn_thận chìm sâu tầng mây gương_mặt phủ hơi_nước trào ấm_ức lắm phảicó dạo quen niềm vui độ chấp_nhận nổi nỗi buồn kỉ_niệm xa_xăm ám_ảnh dai_dẳng cũ cũ tưởng bỏ_qua chực_chờ xua_đuổi hắt_hủi kì_cùng chẳng điriết quen_biết nỗi buồn thường_tình chẳng_thể bắt biến ngay_tắp_lự cuộc_đời kệ chán đi buồn khóc oà khóc xong tự_nhiên nhẹ bớt đám mây kia biến thành mưa mưa trút mây tan bầu_trời xanh_tươi sángviết nỗi buồn thương dạo hắt_hủi hắt_hủi hôm_nay nặng_nề hoá thành mưa trút chẳng khóc oà trò_chuyện một_chút một_chút một_chút đi hai ta trải_nghiệm cuộc_đời nỗi buồn nỗi buồn dĩ_vãng xa_xăm thuở nàotạm biệt nỗi buồn điyo le,2
trông,2
nuôi chăm_sóc bé cẩn_thận,5
xạo add y_tế lương tr,0
đcm hả_hê lồn,4
man gã ga_lăng dư,2
tải học nè thú_vị ghê,1
tưởng,5
năm_ngoái hôm hai chị_em mứt tết nhó gato cô_đơn hề gato,1
dume ế đọc tổn_thương sâu con_mẹ sắc,2
thuốc mấy thằng quằn què tao thiến cmnl,4
hai ngủ đứa kí,1
giun xào xả ớt tuyệt_cú mèo,1
xốp dọn sạch nổi quản_lý ta nv vệ_sinh bẩn kĩ_lưỡng trừ tác_phong ý_thức chút,0
cưng đi,1
cụ í đỗ sai báo chính_quyền,5
mềnh quán mua bim_bim nhì cười,1
đồ khùng cơm mắc làm_vậy,0
chào mngmình hiện học lớp hà_nội mất_gốc môn tiếng trầm trọngnên gấp lớp tiếng offline ạtha thiết mong giới_thiệu địa_chỉ lớp tiếng uy tínhọc phí hợp_lí gốccc,5
mồm tỏ_tình chia_tay cap gửi hội chị_em,0
thất_nghiệp tiền tiêu lăn_lộn trường_đời trò_trống sống xấu câu đầu chẳng lời_giải cuộc_sống trôi kẻ vô_hồn đêm khái_niệm trở_nên vô_nghĩa tưởng tồn_tại sống bóng_ma suy_nghĩ đầu hướng đi ánh_sáng cuộc_đời u_tối liệu rảnh đi tâm_sự lạ liệu khuyên khuyên lạ_mặt khôngrồi kính_trọng lạ gọi coi thếông bệnh ung_thư xương đứng thiết_bị đỡ khung xương di_chuyển xe_lăn nằm chỗ thông_tin ipad chả mạng hẹn chơitôi đầu toát gần_gũi nguy_hiểm giường ngủ treo kiếm cổ phòng phòng bệnh_nhân cửa cửa thoát hiểm phong_thái đại_ca mái_tóc búi admin động đoán trẻ đại_ca qua_mặt cặp mắt sâu thấu tim gan tôiông quý trẻ nhiệt_tình hoảng_sợ đùa hoảng lắm chẳng_qua chẳng_qua tò_mò thôirồi chẳng nói_chuyện hợp học_hành cuộc_sống thời_sự tình_dục chính_trị nói_chuyện anh_chàng say_sưa chém gió quán trà đátôi cảm_xúc nói_chuyện cảm_giác nội bố mặt mạnh_dạn dám chẳng tâm_sự kiểu bố đượckỳ lạ câu trả_lời suy_ngẫm câu cháu nhà_nhà chính_trị nhà_buôn nhà_khoa_học câu giải_thích vai_trò cuộc_sống phụ_thuộc bài_học rút đam_mê tiền cháu lưu tôn quyền tào tháo chính_trị ngây_thơ trả_lời tào tháo bảo tào tháo tài quân_sự mưu_kế lấy_lòng dân quân cười lưu bảo_lưu tài_cán mác con_ông_cháu_cha suốt nhân_nghĩa bảo ta ta chính_trị lỗi_lạc nhất_thời tam quốc ngạc_nhiên chính_trị chính_trị rau_muống nói_chuyện chính_trị ầm_ầm tinh_tuý hành_động mưu_đồ lưu kia góc tưởng_chừng hiển_nhiên tính_toán tinh_vi hợp lưu đần mặt lưu giỏi thể_hiện ta quan_hệ tình_dục nam nữ cháu ta trinh_tiết khoẻ tình_dục yếu khoẻ lợi hại yếu lợi hại bảo kẻ nhu_cầu tình_dục thành ác_quỷ kẻ nhu_cầu tình_dục thành thiên_thần cháu lo_nghĩ tiền_bạc bảo tiêu tiền kiếm tiền vợ tiền xấu bảo tiền xấu cháu hiện cháu thất_nghiệp chẳng bảo cháu cháu làm_việc cháu cháu gìchúng nói_chuyện chiều_tối mịt thế_giới phòng kín yên_tĩnh câu trả_lời đáp câu câu trả_lời chẳng giấu chẳng ép đứa trẻ mới_lạ ngạc_nhiên tò_mò miệng kiên_nhẫn bình_tĩnh trả_lời hiểu_biết lạ mặtrồi quyết_định câu trả_lời câu chất xấu_xa con_người lười_biếng ỷ_lại câu trả_lời kiểm_chứng câu trả_lời mong_ước đi tàu_điện tp hn chết an tàu_điện xong dịch_bệnh tràn mong sống ước_mơ cố sống ước_mơ mìnht corona,5
toàn mẹ đánh dây_điện phát ứa máu phát đấy tự_nhiên mẹ nghiêm_khắc ngoan,1
tan_vỡ cố_gắng nở nụ cười đêm ôm kỉ_niệm khóc đem mặt đập tan_vỡ lặng_thinh vắng_vẻ cắm tai bản_nhạc yêu tự_nhủ lá thay màu hoa tan ngạc_nhiên đối_diện nỗi buồn mong giông_bão đón ánh nắng ấm_áp bầu_trời rộng_lớn ôm trọn nỗi buồn,2
lamdepfangirl chào sinh_nhật chị_gái mua bảng phấn mắt tặng tư_vấn giùm giá hạt_dẻ chút oke hong quatangchigai,5
nói_chuyện danh_bạ điện_thoại nhắn_tin gọi điện ấn nút xoá tâm_sự chẳng tự_nhủ ngày_mai,2
mệt trưa mày nhai chóp_chép,0
bọn yêu tính_chuyện cưới_xin đứa bố ưng người_yêu lắm nhắc suốt rủ tiếp tình_cảm đi chẳng người_yêu học kiểu quen càng_ngày_càng bắt_bẻ vô_lí kinh_khủng bắt_bẻ câu hành_động câu chữ mẹ khó_tính lắm bla bla thằng người_yêu tức người_yêu khăng_khăng tao phí tiền ăn_học hôm_qua bọn cãi trận xong mấy ngữ_pháp chán chúng_mày chúng_mày sai,4
t ghét,0
độc_nhất_vô_nhị kkkk,1
tình_yêu phân_biệt gay gay lựa tim nhắm,5
cơm ngon bún_bò mlem kém chiều nghiencoiphimhan,1
chiều lặng_thinh chút yên_bình phố_đông ồn_ã ánh mắt quen dòng xa_lạ bóng_dáng vội_vã qua_đời,2
phát_hiện vợ lừa_dối suốt yêu_đương shock lừa_dối tổn_thương vô_cùng hi_vọng anh_em tỉnh_táo đừng quen vợ ấn_tượng ngây_thơ trong_sáng yêu ngờ đấy bộ_mặt giả_dối nắp chai nổi_bật lon lật móng ngày_nay vợ xách tró béo kg tầng lầu bắt quả_tang vác bình cân mặt sắc_thái sét đánh giật_mình bịt tai sợ sét lắm eo_ôi tiếng vợ quát chồng quát sát_thương gấp tiếng sét đi đi mua vé phim mua tiền tiêu ngày_nay lương_lậu thẳng tk vợ phát tiêu game đi đi đá bóng xem_ngày h có_mặt trông cứ_liệu hồnđừng trách vợ ác gián hôm_nay gián vợ bay bay vợ vồ gián xong ném thùng rác rửa xà_phòng mồm lẩm_bẩm dăm_ba gián tiện bát_nháo gián bé_bỏng đấy tí ship đôi giày hộ hiện_giờ cổng suy_nghĩ giải_thích thanh_toán đôi giày củ ta hề tiền đi cứu,2
ba_mẹ thầy_cô dạy sống chan_hoà vui_vẻ san_sẻ biết_nghĩ cạnh ra_đời học sống lương_thiện đừng dễ_chịu đừng giỏi_giang dần ta tất_nhiên cho_dù gắng_gượng nổi mệt_mỏi rơi nước_mắt chẳng mắt tình_nguyện đôi_lúc đừng tốt_bụng ta suy_xét cảm_giác đương_nhiên nhường mệt_mỏi lắm,2
giay yêu_thương đời_mới chứng_minh cháu ngưỡng_mộ ông_bà,1
thử im_lặng,5
thời khủng_hoảng corona công_ty làm_việc lương may_mắn chả vui buồn an_toàn đấy cô_đơn học_sinh tiểu_học thích_thú nghỉ phát chán giao_tiếp vui_chơi bèd nhịn tiếp bầu dám liều_lĩnh đi đông vỡ trận khẩu_trang ru_rú tuần chả dám đi tuần đi mua đồ_ăn cửa_hàng thực_phẩm vắng mãi bệnh_nhân liên_tiếp chồng rủ_rê dám đi trung_tâm thương_mại đi hai đỡ vã đi xe bus đêm đọc báo ca bệnh_nhân hoảng phết xe bus tây ơn giời saodnói phát_hiện ca hoảng_loạn hôm mùng bảy tết đổ_xô đi mua khẩu_trang hôm thông_tin báo đài cảm_giác tận_thế đầu toàn suy_nghĩ tiêu_cực liệu sống giai_đoạn nhiễm_bệnh nhiễm_bệnh bụng khôngnhỡ sinh non saovv tuyệt_vọng điên đầu hãi bốn liền chồng động_viên tự_động_viên linh_tinh ổn giả_định tình_huống xấu xảy gia_đình đọc mấy truyện hậu tận_thế bản_tính lo_xa lối sống chiến_tranh suy_nghĩ kịch_bản an_tâm khủng_hoảng tâm_lý giai_đoạn đại_dịch đấy hờ hờđợt hai thứ_bảy dậy muộn chả kia ta xếp_hàng tranh mua nhu_yếu_phẩm đồ_ăn mẹ gọi điện bảo mua mẹ mua mẹ siêu_thị ngái_ngủ đọc mua đồ khô sẵn đi bảo vụ bệnh_nhân nhiễm_bệnh mẹ mua yến gạo lạc rang hôm mẹ xếp_hàng tiếng thanh_toán xong lo ui hôm_qua_mẹ_lại lỡ đi siêu_thị chỗ đông chồng mẹ cười_cười tối thứ_bảy tiệm bánh mua nhét túi bánh mỳ gối giá pate khộp hôm ngứa_miệng hôm cháu mua khộp đi chợ cháu mua đồ đi thịt lợn kkg tăng_giá cháu đi chợ hì_hì hàng cười vợ_chồng trời rơi khủng_hoảng vét chợ hum chiều chủ_nhật đi mua rau thịt quán quen đề_huề giá_như hề bão quét chợ đótôi chả mua giấy_vệ_sinh báo mạng bảo cháy hàng đọc truyện sinh_tồn hậu tận_thế toàn đi thiên_hạ kệ trời tự_nhủ vậyvtôi giai_đoạn hai đồng_lòng chống dịch công_ty remote đầu tuần làm_việc hai tuần khác_biệt đám trẻ_con nô_đùa ầm_ĩ tụi đi học thừa năng_lượng hò_hét xả vui_tai nỗi yên_tĩnh xóm cặp vợ_chồng xảy cãi cự hình_như nguyên_nhân hai anh_chị bực nghỉ trông thời dịch_bệnh giao_lưu bạn_bè hạn_chế ta trở_nên bức_bối việt_nam công_tác cách_ly người_bệnh truyền_thông công_tác tư_tưởng người_dân ổn lo_sợ bệnh_dịch nghiêm_túc lắng_nghe khuyến_cáo y_tế quen không_khí trùng cuồng chân bạn_bè chậm lương lương nghỉ tạm thờivv may công_ty lương may_mắn quen sơ_sơ tết quyết_định công_ty nhảy free lancer tình_hình rồivợ chồng huỷ kế_hoạch mua thời_buổi dốc tiền tiết_kiệm mua kế_sách hay_ho lắm dịch kéo_dài việt_nam đợt du_lịch nhà_hàng khách_sạn fitness spa mầm_non tư thụcvv ngấm đòn đau đợt hai tư_vấn du_học xuất_khẩu lao_động bán_lẻ tác_động châu_âu mỹ nhật hàn khống_chế dịch_bệnh ngành sản_xuất khu công_nghiệp out source phần_mềm tàn tiếp bất_động_sản xe_máy xe_hơi hệ_luỵ ngân_hàng ảnh_hưởng doanh_nghiệp tiền nợ người_dân phòng_thủ cầm_cự cốt sống cho_qua đại_dịch thắt_lưng_buộc_bụng dám mua_sắm đồ đắt tiền vui_vẻ hy_vọng kinh_tế nhà_nước thiệt_hại thất_thu tiền thuế vật_lộn chi_phí mua vật_tư y_tế tiền nuôi cách_ly tiền chữa_trị bệnhvv cảm_giác co_rúm việt_nam đi phương tây chống dịch hàng trời hạn_chế lây_lan dịch_bệnh mặt xã_hội tuyệt_vời đồng_nghĩa_việt_nam thiệt_hại lâu_dài mặt kinh_tế so_sánh một_chút tây nghỉ lương tuần nghỉ lương hai tiền tiết_kiệm buồn tập hai mong ta vaccin tỉ_lệ ngừa bệnh giơ hai tán_thành dịch_bệnh đi ta công_ăn_việc_làm lương thưởng tiền nuôi đàn con_thơ học_sinh sinh_viên đi học đi giao_lưu bạn_bè vui_vẻ dễ_chịu ru_rú mạng vu_vơ cho_qua giơ tán_thành đâythôi chả ngày_mai sống hôm_nay hoàng hối_hận viết sống nỗi sợ viết hơi lan_man đồng_ý hashtag dunglanthan đừng lẩn_thẩn ps hoàng chả facebook mấy buồn man haizzchúc thế_giới đại dịchv fiction sáng_tác,5
đầu nhà_hàng chỗ má li_hôn giảm_giá ly_hôn sập tiệm,1
ước boss co chân tao boss khí_chất,2
đầu chúc đại kỷ_nguyên vạn_sự_như_ý,1
cụ đẹp_lão,1
_văn lê,5
bất_công,2
đi chỗ viết đụ_mẹ coi tao tức,4
đéo,5
đăng hộ gia_đình cưới hối_hận day_dứt người_yêu cũ chẳng_là hôm vợ vợ cưới yêu yêu suốt bọn yêu hồi sinh_viên hà_nội suốt thời sinh_viên bọn đi cơ_bản thoải_mái kinh_tế đi ăn_học lo_nghĩ kinh tếà bọn sống đối_phương yên_tâm tất_nhiên cãi_vã game hối_hận trải hà_nội học xong trường quê ban_đầu trọ hn thăm trọ đi_đi_về_về thăm chủ_nhật yêu nv xảy cãi đêm tết trường cãi chia_tay câu im_lặng quen tán_tỉnh yêu thử xin_lỗi người_yêu bọn hứa cố_gắng bù_đắp từng_trải thời sinh_viên trường bọn kết_thúc_viên_mãn trường đi nhật học kiếm tiền tổ_chức đám_cưới công_ty cử đi hàn đợt đi nhật gọi đỡ đợi đi hàn liên lạcvà động_viên nửa bảo đừng đợi tha_thứ lỗi_lầm yêu đứa chia_tay bảo chia_tay bảo hứa cưới đừng up ảnh facebook chia taybố bệnh đi hàn lập gia_đình quyết_định cưới cưới gia_cảnh lắm thiệt_thòi hứa bù_đắp hứa vợ mìnhmình cất_giữ toàn_bộ ảnh chụp cũ lưu_giữ kỷ_niệm thời thanh_xuân trân_trọng hối_hận đối_xử vợ gom ảnh cũ buồn cũ chút hg,4
buôn tình_cảm thuoc nua bat đầu kiem tiên,2
mái sảnh tao nhện mẹ tao bảo tao giết hờ hờ bố tao bảo mày đi rơi đầu,3
dáng đứng hơi lỏng_lẻo đường quyền lồn,0
ta mơ nàng giọt nắng tháng_giêng làng cổ_đại một_chiều nổi gió lang_thang tầng ngói đỏ ta tiếc mảng rêu xanh,2
câu_chuyện ngắn_gọn trọn tình,1
đỉnh,1
đéo đọ,5
tranh_luận đi đường thằng đỗ thế_này nửa tắc đường gọi đừng há mồm dume,4
đống đường dí tao t tội_gì,2
lừa_đảo tiền khởi tối lũ chúng_nó,4
tư_vấn giúp trả_lời pass tiêu_chí mỗi_tội đi học môn đạo_đức hơi kém,3
ác vãi,0
có_lẽ thí thân bầy bụng phệ,0
đồng_nai mùa chim nướng yên xe kaka,1
đôi_khi tình kết_thúc chân_thành chân_thành trôi cố_gắng cố vun_đắp cố_gắng níu_kéo gánh hai hai khó_chịu trà nguội đừng cố uống đi đừng cố cố_gắng trân_trọng yêuđâu rời đi,2
ấm_áp ghê,1
đi chuyến,5
dạo mệt kiên_trì một_chút,5
đẹp p,5
gai vãi,0
tiên_sư thằng ghép nhạc cười rớt mồm ghép,1
nàobài viết đơn_giản tiêu_đề tổng_kết try hard phê game phê game channel bé bé xinh_xinh game đương_nhiên channel trực_thuộc quyền quản_lý phê phim channel công_ty tầm phê game năm_tuổi try hard đấy nhân phê gametính phê game tập_thể phê phim duyên duyên spiderum spiderum offline anh_hùng bàn_phím anh_hùng bàn_giấy đại_hội đấm admin please trá_hình spiderum offline hn anh_hùng bàn_phím anh_hùng bàn giấybài viết gửi spiderum team mục sự_kiện spiderumspiderumcomdĩ nhiên đi dự offline tâm_thế bình_thường chả offline đem hôm đấy aka samurice đời thực tất_nhiên tiếng chủ_yếu mấy viết ba_lăng_nhăng spiderum làm_việc phê phim channel subscribe lười video lắm đi tham_gia offline hôm câu triển_khai channel gọi phê game tham_gia khôngthú thực câu dĩ_nhiên game game xa_vời chả to viết game viết viết blog số_lượng hạn_chế đọc viết youtube game thoáng suy_nghĩ nghiêm_túc mời đề_nghị xông_pha lĩnh_vực chả youtubeđọc thêmvà youtuber chục đổi nghềbài viết gửi summer peace mục truyền_cảm hứngspiderumcomtrong offline quyết_định vướng_mắc lăn_tăn youtube viết liệu viết video gia_đình thái_độ nghi_ngờ công_việc nhẹ khuyên_bảo can_ngăn cấm hy_vọng gia_đình ủng_hộ chấp_nhận đề_nghị nàyđương nhiên câu trả_lời viết chả tồn_tại quyết_định thử sức mấy hôm văn_phòng phê phim nói_chuyện kỹ_càng quản_lý phê phim trường rủ phê game phê game chính_thức ra_đời hai thành_viên thuở ban_đầu trường video ban_đầu phê game clip review game spiderman vốn đăng channel phê game đăng channel phê phim video đăng phê game view cực_kỳ heo_hút tận viewngười ta câu vạn khởi_đầu nan phê game thế_nhân_lực ban_đầu chẳng editor mượn editor phê phim câu_chuyện bi_đát video ngẫu_hứng ngẫu_hứng hôm mượn editor video kịp ngày_mai ngày_kia tận mấy phê game editor chuyên_nghiệp tương_đối video đều_đặn kéo_theo subscribe dần view đồ_thị hình sin lường thắc_mắc thu_nhập câu_chuyện thu_nhập lương_lậu vốn tế_nhị phê game đầu thành_lập một_chút thú_thực suốt mấy đầu xây_dựng phê game hai anh_em lương channel bật kiếm tiền doanh_thu trường chả đi con_số đau_thương mất_mát hy_sinh tương_lai huy_hoàng rực_rỡ huy_hoàng rực_rỡ lắm đầu bước_tiến lắmvậy gia_đình phản_ứng phê game khúc_mắc dấn_thân công_việc mấy dám bố_mẹ bố_mẹ vui nổi thằng đi làm_việc lương kiểu đành_rằng đi startup thiệt_thòi tất_nhiên kinh_nghiệm đau_thương quá_khứ tỏ ý_muốn game quyết_định hợp_lý tận phê game khoản doanh_thu dám bố_mẹ ơn trời bố_mẹ đồng_ý công_việc ổn xuôi_chèo_mát_mái lắm tựu kiểm_soát đọc thêmchuyện gamerbài viết gửi hải stark mục chuyện_trò tâm sựhainguyenspiderumcomvậy phê game câu bố lẫn mẹ công_việc kiểu nàykhỏi việc_làm youtube chả chuyên_ngành đại_học học theo_đuổi công_việc tương_đối youtube việt_nam khôngthực hơi mơ_mộng_hoá đời_thường lựa_chọn công_việc có_lẽ đem vật_chất tinh_thần game công_việc game game tập_thể phê phim con_người yêu phim_ảnh làm_việc tập_thể cho_dù deadline dí tận đằng lưng áp_lực lắm môi_trường làm_việc tương_đối thoải_mái dĩ_nhiên công_việc sáng_tạo tất_nhiên thoải_mái vui_vẻ nghĩa tí áp_lực phết đấy trên_hết sở_thích team phê game vẻ công_việc lý_tưởng đấy đấy công_việc chả tồn_tại drama youtube hứng sản_phẩm ngành hứng_chịu đi đường đắng_cay ngọt_bùi_gì kha_khá rồitừ nghiệm viết blog yên_ả có_lẽ đọc viết đem đấy youtube gọi hỉ nộ ố kiểu cạnh comment động_viên bày_tỏ yêu_mến nội_dung video chả comment tiêu_cực nặng_nề bình_thường chả để_tâm đợt đi tầm kiểm_soát suy_nghĩ nhiềutôi hội lĩnh_vực dám nổi_tiếng nhắc bút_danh hải stark có_lẽ kiểu hoạt_động mạng nhận_xét phê game facebook đầu tiênvà thực_lòng bắt_gặp mà_còn chục nhận_xét phê game rác trích nguyên_văn hề câu chửi nhẹ nhận_xét kiểu video đại_trà tâm cóp_nhặt mạng xào_nấu video thua kênh abcxyz phê game vướng drama căng_thẳng channel game việt_nam hai kênh đấu ghét_bỏ lắm sai phê game sốc phản_ứng tiêu_cực content ator thừa sản_phẩm yêu huống_chi tư_duy tương_đối phổ_biến cộng_đồng facebook youtube video việt bọn nước_ngoài nói_gay gắt kiểu hàng nước_ngoài thượng_đẳng hàng việt_nam bắt_chước suy_nghĩ phản_ứng tiêu_cực phê game vốn hề nghĩa nghĩ_ngợi nghĩa buồn chút học try hard phê game học chăm_chút sản_phẩm khả_năng chửi dần bình_tĩnh chỉ_trích hồi đổ drama game y_như_rằng có_mặt hóng_hớt nhảy cãi chửi ngán nghiêm_túc việc_làm content game học bài_học đắt kệ ghi_nhận sai chả ảnh_hưởng thể lời_lẽ mạng suy_nghĩ xa_lạ quen_biết cãi tay_bo facebook tốn thoả_mãn đối_phương chẳng ích_lợi gìvà bài_học rút cay_đắng đau_xót đấy ta chả thèm công_sức sản_phẩm ta chả thèm đứng đằng sản_phẩm đấy content ator tập_tành kiêm editor video dit đầy_đủ description mấy_ai thèm video tuần kịch_bản edit chả anh_em team thân_thiết video chửi bình_thường content ator hứng_chịu cú đòn thừa_nhận phê game trầm hẳn nóng máu rút chê mấy_ai vất_vả kệ_xác bàn_dân_thiên_hạ đi gìmột ổn xuôi_chèo_mát_mái phê game đi cực_kỳ ổn_định vui phê game phát_triển hồi kỷ_niệm subscribers con_số subscribers mong_muốn tốt_đẹp anh_em đồng_đội team phê game toàn_bộ tập_thể phê phim chân phê game đầu đón tạm_biệt anh_em con_người vui sát_cánh tất_nhiên mong_muốn spiderum phát_triển bén duyên hành_trình phê game suốt hiệp_sĩ bão_táp website bé_nhỏ game cực_kỳ yêu_mến ấm_cúng thân_thiết suốt cà_khịa thâm_tâm yêu mong hiệp_sĩ bão_táp lớn_mạnh lão admin tối_ngày khủng_bố inbox đòi đọc viết hy_vọng try hard thành_công dĩ_nhiên thân_thiết đời mong niềm vui gia_đình đằng bố_mẹ chả đọc spiderum mất_công viết hơncòn mong_muốn giản_dị phê game đánh_bại phê phim anh_em thắng kèo bet hai team hai hy_vọng cuộc_sống rộng_lượng đừng trù_dập hy_vọng hạnh_phúc tương laià góc vứt liêm_sỉ ủng_hộ subscribe phê game đấy trường_hợp đem đếnphê gamechúng phim đọc truyện mà_còn game cơwwwyoutubecomtôi hải stark đọc học_hỏi try hard phê game,1
vợ vlog muối hẳn huhu,2
phim chuẩn,1
ước ngày_mai thức dậy dụi mắt mãi thanh_xuân,1
xin_lỗi rút kinh_nghiệm,5
dễ_thở đề văn,1
xong tao khóc,2
hồi đỉ dí lòi lồn cắn bầm đen thúi thịt đươ nuôi nhà_cửa sợ ma_quỷ,3
đm tù mọt_gông đi não,4
khốn_nạn,4
lắm gio xử_phạt,4
kiểu người_yêu nhẹ_nhàng,1
bo lạ đẹp tuyệt_vời,1
chia_tay im_lặng,2
đời vô_tâm tâm hướng dễ_dàng quen xa_lạ quên đi lạ quen đau_khổ yêu thương nỗi_lòng ta sự_thật mãi trái_tim ta ta đi đoạn đường,2
moé cảnh dọn bánh kem bọn ném dính hoà bãi nôn,0
tao cảm_giác tiếc ly trà sữa vừa_phải lết xác đi giặt balo,2
quan_hệ đồng_tính,5
thằng lồn tao đéo sống xung_quanh ngu tỏ ngu hẳn,0
tao đẹp_trai hiền_lành tao,1
t xe chạy,3
gái sống nội_tâm bạn_bè trò_chuyện buồn lang_thang khắp_nơi hoà_mình dòng hối_hả chiều_tà thực_chất tấp_nập che_lấp đi con_người nhỏ_bé đôi_khi ấm_áp đơn giãn hạnh_phúc,2
ngủ dth vler đừng cười,1
nhà_nước pháp_luật việt_nam lên_tiếng hộ,5
ám_ảnh hồi bé trông oke chó,3
kkk bếp dầu thời ta nấu nè,1
tao nè,1
kỷ_niệm nè,1
người_yêu tao một_hơi đẹp_trai bay lơ_lửng ôm tắm,1
nữ trai,5
dân_trí tự_ái hỏng nhiệm_vụ quy tội chống thi_hành công_vụ lồn,0
phụ_nữ phức_tạp chinh_phục giải_quyết,5
chị_em quen_biết,5
